# firmware: v1.0.1
rpm_cmd,cyl,n,mean_btdc_deg,median_btdc_deg,stddev_btdc_deg,min_btdc_deg,max_btdc_deg,mean_dwell_us,stddev_dwell_us,mean_sys_latency_us,tach_rpm
100,0,16,9.83,9.83,0.00,9.83,9.83,100145.05,1.10,200.02,100.00
100,1,16,9.83,9.83,0.00,9.83,9.83,100135.58,0.81,200.02,100.00
200,0,16,9.66,9.66,0.00,9.65,9.66,50145.00,1.91,200.27,191.30
200,1,16,9.67,9.67,0.00,9.66,9.67,50136.07,2.50,200.27,191.30
300,0,16,9.48,9.48,0.00,9.47,9.49,33479.22,5.93,200.06,293.33
300,1,16,9.50,9.50,0.00,9.50,9.50,33466.81,2.44,200.06,293.33
400,0,16,9.32,9.33,0.00,9.31,9.33,25144.87,3.27,200.20,394.03
400,1,16,9.35,9.35,0.00,9.34,9.35,25135.20,2.53,200.20,394.03
500,0,16,9.16,9.16,0.01,9.13,9.16,20145.49,2.03,200.26,494.38
500,1,16,9.18,9.18,0.01,9.17,9.19,20135.32,3.26,200.26,494.38
600,0,16,8.99,8.99,0.00,8.98,8.99,16810.36,1.58,200.10,594.59
600,1,16,9.02,9.02,0.00,9.01,9.02,16802.99,1.15,200.10,594.59
700,0,16,8.82,8.82,0.00,8.81,8.82,14430.62,1.23,199.70,694.74
700,1,16,8.86,8.86,0.00,8.85,8.86,14420.57,0.93,199.70,694.74
800,0,16,8.65,8.65,0.01,8.63,8.66,7492.01,1.50,273.21,794.80
800,1,16,8.68,8.68,0.01,8.66,8.69,7489.39,1.68,273.21,794.80
900,0,16,8.49,8.49,0.00,8.48,8.49,7491.88,0.72,284.59,894.91
900,1,16,8.51,8.51,0.01,8.50,8.52,7489.06,1.40,284.59,894.91
1000,0,16,8.31,8.31,0.01,8.30,8.32,7492.55,1.74,278.86,994.98
1000,1,16,8.35,8.35,0.01,8.33,8.36,7488.80,1.36,278.86,994.98
1100,0,16,8.15,8.15,0.00,8.14,8.16,7491.55,0.81,277.72,1095.03
1100,1,16,8.18,8.18,0.01,8.17,8.19,7489.17,1.12,277.72,1095.03
